,,,
Humidity Content,Temperature (C) ,Moisture Content ,Light
76.10,29.20,902,"LIGHT , SIGNAL FINE"
76.20,29.20,901,"LIGHT , SIGNAL FINE"
76.20,29.20,902,"LIGHT , SIGNAL FINE"
76.20,29.20,903,"LIGHT , SIGNAL FINE"
76.20,29.20,904,"LIGHT , SIGNAL FINE"
76.20,29.20,904,"LIGHT , SIGNAL FINE"
76.10,29.20,903,"DARK , SIGNAL DANGER"
76.10,29.20,904,"LIGHT , SIGNAL FINE"
76.10,29.20,902,"LIGHT , SIGNAL FINE"
76.10,29.20,902,"LIGHT , SIGNAL FINE"
76.00,29.20,902,"LIGHT , SIGNAL FINE"
76.00,29.20,901,"LIGHT , SIGNAL FINE"
76.00,29.20,901,"LIGHT , SIGNAL FINE"
76.00,29.20,902,"DARK , SIGNAL DANGER"
76.00,29.20,902,"LIGHT , SIGNAL FINE"
76.00,29.20,901,"LIGHT , SIGNAL FINE"
76.00,29.20,901,"LIGHT , SIGNAL FINE"
76.00,29.20,901,"DARK , SIGNAL DANGER"
76.10,29.20,901,"LIGHT , SIGNAL FINE"
76.10,29.20,858,"DARK , SIGNAL DANGER"
76.10,29.20,848,"DARK , SIGNAL DANGER"
76.10,29.20,845,"DARK , SIGNAL DANGER"
76.20,29.20,864,"LIGHT , SIGNAL FINE"
76.20,29.20,865,"LIGHT , SIGNAL FINE"
76.20,29.20,869,"DARK , SIGNAL DANGER"
76.20,29.20,874,"LIGHT , SIGNAL FINE"
76.20,29.20,873,"LIGHT , SIGNAL FINE"
76.20,29.20,875,"LIGHT , SIGNAL FINE"
76.30,29.20,875,"LIGHT , SIGNAL FINE"
76.30,29.20,875,"LIGHT , SIGNAL FINE"
76.30,29.20,881,"LIGHT , SIGNAL FINE"
76.40,29.20,883,"LIGHT , SIGNAL FINE"
76.40,29.20,884,"LIGHT , SIGNAL FINE"
76.40,29.20,884,"LIGHT , SIGNAL FINE"
76.40,29.20,884,"LIGHT , SIGNAL FINE"
76.40,29.20,884,"LIGHT , SIGNAL FINE"
76.40,29.20,884,"LIGHT , SIGNAL FINE"
76.40,29.20,884,"LIGHT , SIGNAL FINE"
76.30,29.20,883,"DARK , SIGNAL DANGER"
76.30,29.20,885,"LIGHT , SIGNAL FINE"
76.30,29.20,882,"LIGHT , SIGNAL FINE"
76.30,29.20,882,"DARK , SIGNAL DANGER"
76.30,29.20,885,"DARK , SIGNAL DANGER"
76.30,29.20,885,"DARK , SIGNAL DANGER"
76.30,29.20,885,"DARK , SIGNAL DANGER"
76.30,29.20,885,"DARK , SIGNAL DANGER"
76.30,29.20,885,"LIGHT , SIGNAL FINE"
76.30,29.20,882,"LIGHT , SIGNAL FINE"
76.30,29.20,882,"LIGHT , SIGNAL FINE"
76.30,29.30,894,"LIGHT , SIGNAL FINE"
76.20,29.20,894,"LIGHT , SIGNAL FINE"
76.20,29.20,894,"LIGHT , SIGNAL FINE"
76.20,29.20,876,"LIGHT , SIGNAL FINE"
76.10,29.20,870,"LIGHT , SIGNAL FINE"
76.10,29.20,882,"LIGHT , SIGNAL FINE"
76.10,29.20,889,"LIGHT , SIGNAL FINE"
76.10,29.20,883,"LIGHT , SIGNAL FINE"
76.00,29.20,888,"LIGHT , SIGNAL FINE"
76.10,29.30,890,"LIGHT , SIGNAL FINE"
76.00,29.20,890,"LIGHT , SIGNAL FINE"
76.00,29.20,889,"LIGHT , SIGNAL FINE"
76.10,29.20,891,"LIGHT , SIGNAL FINE"
76.00,29.20,891,"LIGHT , SIGNAL FINE"
76.10,29.20,889,"LIGHT , SIGNAL FINE"
76.10,29.20,890,"LIGHT , SIGNAL FINE"
76.20,29.30,889,"LIGHT , SIGNAL FINE"
76.10,29.20,889,"LIGHT , SIGNAL FINE"
76.20,29.20,891,"LIGHT , SIGNAL FINE"
76.20,29.20,889,"LIGHT , SIGNAL FINE"
76.20,29.20,841,"LIGHT , SIGNAL FINE"
76.20,29.20,821,"LIGHT , SIGNAL FINE"
76.20,29.20,827,"LIGHT , SIGNAL FINE"
76.20,29.20,848,"LIGHT , SIGNAL FINE"
76.40,29.30,852,"LIGHT , SIGNAL FINE"
76.20,29.20,852,"LIGHT , SIGNAL FINE"
76.20,29.20,849,"LIGHT , SIGNAL FINE"
76.20,29.20,852,"LIGHT , SIGNAL FINE"
76.20,29.20,852,"LIGHT , SIGNAL FINE"
76.20,29.20,852,"LIGHT , SIGNAL FINE"
76.20,29.20,847,"LIGHT , SIGNAL FINE"
76.20,29.20,848,"LIGHT , SIGNAL FINE"
76.10,29.20,849,"LIGHT , SIGNAL FINE"
76.10,29.20,851,"LIGHT , SIGNAL FINE"
76.10,29.20,850,"LIGHT , SIGNAL FINE"
76.10,29.20,852,"LIGHT , SIGNAL FINE"
76.20,29.30,852,"LIGHT , SIGNAL FINE"
76.10,29.20,852,"LIGHT , SIGNAL FINE"
76.00,29.20,852,"LIGHT , SIGNAL FINE"
76.00,29.20,853,"LIGHT , SIGNAL FINE"
76.00,29.20,853,"LIGHT , SIGNAL FINE"
76.10,29.30,853,"LIGHT , SIGNAL FINE"
76.10,29.20,852,"LIGHT , SIGNAL FINE"
76.20,29.30,852,"LIGHT , SIGNAL FINE"
76.20,29.30,852,"LIGHT , SIGNAL FINE"
76.10,29.20,851,"LIGHT , SIGNAL FINE"
76.10,29.20,851,"LIGHT , SIGNAL FINE"
76.10,29.20,851,"LIGHT , SIGNAL FINE"
76.10,29.20,851,"LIGHT , SIGNAL FINE"